xtime(milli),GSR,Volt
529.67,464,465
531.03,464,464
532.39,464,465
533.75,465,464
535.11,464,465
536.47,464,464
537.83,465,464
539.19,464,464
540.55,465,464
541.91,465,464
543.27,465,464
544.63,465,464
545.99,464,465
547.35,464,465
548.71,464,465
550.07,464,465
551.43,464,465
552.79,465,464
554.15,464,465
555.51,464,464
556.87,464,465
558.23,465,465
559.59,464,464
560.95,464,465
562.31,464,464
563.67,465,466
565.03,465,465
566.39,464,465
567.75,464,464
569.11,464,464
570.47,464,464
571.83,465,465
573.19,465,465
574.55,464,465
575.91,465,464
577.27,464,465
578.63,464,465
579.99,464,464
581.35,465,464
582.71,465,464
584.07,464,465
585.43,464,465
586.79,464,464
588.15,465,464
589.51,464,465
590.87,464,465
592.23,465,464
593.59,465,465
594.96,464,465
596.31,465,464
597.67,464,465
599.03,464,465
600.39,465,465
601.75,464,465
603.11,464,464
604.47,465,464
605.83,464,465
607.19,464,464
608.55,465,464
609.91,464,464
611.27,465,465
612.63,464,464
613.99,465,464
615.35,464,465
616.71,465,464
618.07,464,465
619.43,464,464
620.79,464,464
622.15,464,464
623.51,465,464
624.87,464,464
626.23,464,465
627.59,464,464
628.95,464,465
630.31,464,464
631.67,464,464
633.03,464,464
634.39,464,464
635.75,464,464
637.11,464,464
638.47,465,464
639.83,465,464
641.19,464,464
642.55,465,464
643.91,464,465
645.27,464,465
646.63,464,464
647.99,464,464
649.35,465,465
650.71,464,464
652.07,465,464
653.43,464,465
654.79,464,464
656.15,464,465
657.51,464,464
658.87,464,465
660.23,464,464
661.59,464,465
662.95,464,464
664.31,465,464
665.67,464,465
667.03,464,465
668.39,464,465
669.75,465,464
671.11,465,464
672.47,465,464
673.83,465,465
675.19,464,465
676.55,465,465
677.91,464,464
679.27,464,464
680.63,465,465
682.00,464,464
683.35,464,464
684.71,465,465
686.07,464,464
687.43,464,464
688.79,464,465
690.15,465,464
691.51,464,464
692.87,464,464
694.23,465,464
695.59,465,464
696.95,464,464
698.31,464,464
699.67,464,465
701.03,464,464
702.39,465,464
703.75,464,464
705.11,464,465
706.47,464,464
707.83,464,464
709.19,465,465
710.55,464,465
711.91,465,464
713.27,464,464
714.63,465,464
715.99,465,464
717.35,464,464
718.71,464,465
720.07,465,464
721.43,464,465
722.79,464,464
724.15,464,465
725.51,464,465
726.87,465,464
728.23,465,465
729.59,464,464
730.95,465,464
732.31,464,464
733.67,465,464
735.03,465,464
736.39,465,465
737.75,464,464
739.11,464,465
740.47,464,464
741.83,464,465
743.19,465,464
744.55,465,464
745.91,465,464
747.27,465,464
748.63,464,465
749.99,464,464
751.35,464,465
752.71,464,465
754.07,464,465
755.43,464,465
756.79,464,464
758.15,464,465
759.51,465,464
760.87,464,464
762.23,464,464
763.59,464,465
764.95,465,464
766.31,465,464
767.67,464,464
769.04,464,465
770.39,465,464
771.75,464,464
773.11,464,464
774.47,464,465
775.83,464,465
777.19,465,464
778.55,464,465
779.91,464,465
781.27,465,465
782.63,464,464
783.99,465,464
785.35,464,464
786.71,464,465
788.07,464,465
789.43,464,464
790.79,464,464
792.15,465,464
793.51,464,464
794.87,465,464
796.23,464,464
797.59,464,464
798.95,464,465
800.31,465,465
801.67,466,464
803.03,464,465
804.39,464,465
805.75,465,464
807.11,464,464
808.47,464,464
809.83,464,464
811.19,464,465
812.55,464,464
813.91,465,464
815.27,464,464
816.63,464,464
817.99,464,465
819.35,465,464
820.71,464,465
822.07,464,464
823.43,464,465
824.79,464,465
826.15,465,464
827.51,464,465
828.87,465,465
830.23,464,465
831.59,464,464
832.95,464,465
834.31,464,464
835.67,464,465
837.03,464,465
838.39,465,464
839.75,464,465
841.11,465,465
842.47,464,465
843.83,465,464
845.19,464,464
846.55,464,465
847.91,464,465
849.27,465,464
850.63,465,464
851.99,465,464
853.35,465,464
854.71,464,464
856.08,464,465
857.43,464,465
858.79,464,464
860.15,464,465
861.51,465,465
862.87,464,465
864.23,465,464
865.59,464,465
866.95,464,465
868.31,464,465
869.67,465,464
871.03,464,465
872.39,465,464
873.75,464,465
875.11,464,464
876.47,464,464
877.83,465,464
879.19,465,465
880.55,464,465
881.91,464,465
883.27,464,465
884.63,464,465
885.99,464,465
887.35,465,465
888.71,464,464
890.07,464,465
891.43,465,464
892.79,465,465
894.15,464,465
895.51,464,465
896.87,465,464
898.23,465,464
899.59,465,465
900.95,464,465
902.31,465,465
903.67,464,464
905.03,464,464
906.39,464,464
907.75,464,464
909.11,464,464
910.47,464,464
911.83,464,465
913.19,464,464
914.55,464,464
915.91,464,465
917.27,465,465
918.63,464,465
919.99,465,465
921.35,464,465
922.71,464,464
924.07,464,464
925.43,464,464
926.79,464,465
928.15,465,464
929.51,465,465
930.87,464,464
932.23,464,464
933.59,464,464
934.95,464,464
936.31,464,465
937.67,465,465
939.03,465,464
940.39,465,465
941.75,464,465
943.12,464,465
944.47,464,464
945.83,464,465
947.19,465,465
948.55,465,465
949.91,464,465
951.27,464,464
952.63,464,465
953.99,465,465
955.35,464,464
956.71,464,464
958.07,465,465
959.43,464,464
960.79,465,464
962.15,464,465
963.51,465,466
964.87,465,464
966.23,465,465
967.59,464,464
968.95,464,464
970.31,464,465
971.67,464,465
973.03,464,464
974.39,464,464
975.75,464,464
977.11,464,464
978.47,464,465
979.83,464,465
981.19,464,465
982.55,464,464
983.91,464,464
985.27,464,465
986.63,465,465
987.99,465,464
989.35,464,464
990.71,464,465
992.07,464,464
993.43,464,464
994.79,465,465
996.15,464,465
997.51,464,465
998.87,464,465
1000.23,465,464
1001.67,464,464
1003.12,465,464
1004.56,464,464
1006.01,464,464
1007.45,464,464
1008.90,464,464
1010.34,464,465
1011.79,464,464
1013.23,465,464
