xtime(milli),GSR,Volt
21164.01,438,436
21165.55,436,437
21167.07,436,436
21168.60,436,436
21170.13,437,437
21171.66,437,436
21173.19,438,436
21174.73,436,436
21176.25,437,438
21177.78,437,438
21179.31,436,437
21180.84,437,436
21182.37,436,437
21183.91,437,436
21185.43,437,436
21186.97,436,436
21188.49,437,436
21190.02,436,436
21191.55,437,436
21193.08,436,436
21194.61,436,437
21196.15,437,437
21197.67,437,436
21199.20,436,436
21200.73,436,436
21202.26,436,437
21203.79,436,436
21205.33,436,436
21206.85,437,437
21208.39,436,436
21209.91,436,436
21211.44,436,436
21212.97,436,436
21214.50,437,437
21216.03,436,436
21217.57,436,436
21219.09,436,436
21220.62,436,436
21222.15,436,436
21223.68,436,436
21225.21,435,436
21226.75,437,436
21228.27,437,437
21229.81,435,436
21231.33,436,436
21232.86,436,437
21234.39,436,437
21235.92,436,437
21237.45,436,436
21238.99,436,437
21240.51,436,437
21242.05,436,436
21243.57,436,436
21245.10,436,437
21246.63,436,436
21248.16,436,436
21249.69,435,436
21251.23,436,436
21252.75,436,436
21254.28,436,436
21255.81,436,437
21257.34,436,436
21258.87,435,436
21260.41,436,437
21261.93,436,436
21263.47,436,436
21264.99,436,435
21266.52,436,436
21268.05,436,436
21269.58,436,437
21271.11,436,436
21272.65,436,436
21274.17,436,436
21275.70,436,436
21277.23,436,436
21278.76,435,436
21280.29,435,436
21281.83,436,436
21283.35,435,436
21284.89,436,436
21286.41,435,436
21287.95,436,436
21289.47,436,436
21291.00,436,436
21292.53,436,437
21294.07,437,436
21295.59,436,437
21297.12,435,436
21298.65,436,436
21300.18,435,437
21301.71,437,436
21303.25,436,436
21304.77,436,436
21306.31,436,436
21307.83,436,436
21309.36,435,436
21310.89,436,435
21312.42,437,436
21313.95,437,435
21315.49,436,436
21317.01,436,436
21318.55,436,436
21320.07,435,436
21321.60,435,436
21323.13,435,436
21324.66,436,436
21326.19,435,436
21327.73,436,436
21329.25,436,436
21330.78,435,436
21332.31,436,435
21333.84,436,436
21335.37,436,435
21336.91,436,436
21338.43,436,436
21339.97,436,436
21341.49,435,436
21343.02,435,436
21344.55,435,435
21346.08,435,436
21347.61,435,436
21349.15,436,436
21350.67,435,436
21352.20,436,435
21353.73,436,435
21355.26,436,435
21356.79,435,436
21358.33,436,435
21359.85,436,435
21361.39,435,435
21362.91,436,435
21364.44,435,435
21365.97,436,435
21367.50,436,436
21369.03,435,435
21370.57,436,435
21372.09,435,436
21373.62,435,435
21375.15,435,435
21376.68,435,436
21378.21,436,435
21379.75,435,436
21381.27,435,435
21382.81,435,436
21384.33,435,435
21385.86,435,435
21387.39,435,436
21388.92,436,435
21390.45,435,435
21391.99,435,436
21393.51,435,435
21395.05,435,435
21396.57,435,436
21398.10,436,436
21399.63,436,436
21401.16,435,435
21402.69,435,436
21404.23,435,436
21405.75,436,436
21407.28,436,436
21408.81,435,436
21410.34,436,435
21411.87,435,435
21413.41,435,436
21414.93,435,436
21416.47,435,436
21418.00,435,435
21419.52,436,435
21421.05,435,436
21422.58,436,435
21424.11,436,435
21425.65,435,435
21427.17,436,436
21428.70,435,436
21430.23,436,436
21431.76,435,436
21433.29,436,435
21434.83,436,435
21436.35,435,436
21437.89,434,435
21439.41,436,435
21440.94,436,435
21442.47,435,435
21444.00,435,435
21445.53,435,435
21447.07,436,435
21448.59,435,436
21450.12,435,436
21451.65,435,435
21453.18,434,435
21454.71,435,435
21456.25,435,435
21457.77,436,436
21459.31,435,434
21460.83,435,435
21462.36,436,435
21463.89,435,435
21465.42,436,435
21466.95,436,435
21468.49,435,435
21470.01,435,436
21471.55,436,435
21473.07,435,435
21474.60,435,435
21476.13,435,435
21477.66,435,435
21479.19,435,435
21480.73,435,435
21482.25,435,435
21483.78,436,435
21485.31,436,435
21486.84,434,435
21488.37,435,435
21489.91,435,435
21491.43,435,436
21492.97,434,436
21494.49,435,435
21496.02,435,436
21497.55,434,436
21499.08,435,435
21500.61,435,436
21502.15,435,436
21503.67,435,435
21505.20,435,435
21506.73,435,436
21508.26,434,435
21509.79,436,435
21511.33,435,434
21512.85,434,435
21514.39,434,434
21515.91,434,435
21517.44,435,435
21518.97,435,435
21520.50,435,434
21522.03,435,435
21523.57,434,435
21525.09,435,434
21526.62,434,435
21528.15,435,435
21529.68,434,435
21531.21,434,436
21532.75,435,435
21534.27,435,434
21535.81,434,435
21537.33,434,434
21538.86,434,434
21540.39,435,434
21541.92,435,435
21543.45,434,434
21544.99,435,434
21546.51,435,434
21548.05,434,434
21549.57,435,434
21551.11,435,434
21552.63,435,434
21554.16,434,436
21555.69,434,435
21557.23,435,435
21558.75,435,434
21560.28,435,434
21561.81,435,435
21563.34,434,434
21564.87,435,434
21566.41,435,435
21567.93,435,435
21569.47,435,434
21570.99,434,435
21572.52,434,434
21574.05,435,435
21575.58,434,434
21577.11,435,435
21578.65,435,435
21580.17,434,435
21581.70,435,435
21583.23,434,435
21584.76,435,434
21586.29,434,434
21587.83,435,434
21589.35,435,434
21590.89,434,434
21592.41,434,434
21593.94,435,434
21595.47,435,435
21597.00,434,434
21598.53,435,435
21600.07,434,434
21601.59,435,434
21603.12,434,435
21604.65,434,434
21606.18,435,434
21607.71,434,435
21609.25,434,434
21610.77,434,434
21612.31,434,434
21613.83,434,434
21615.36,434,435
21616.89,434,434
21618.42,434,435
21619.95,434,434
21621.49,434,434
21623.01,434,434
21624.55,435,434
21626.07,434,434
21627.60,434,435
21629.13,435,434
21630.66,434,434
21632.19,433,433
21633.73,435,435
21635.25,434,434
21636.78,433,433
21638.31,434,434
21639.84,434,435
21641.37,434,434
21642.91,435,433
21644.43,434,434
21645.97,434,434
21647.49,434,434
21649.02,434,434
21650.55,434,434
21652.08,433,435
21653.61,434,433
21655.15,435,433
21656.67,433,434
21658.20,433,435
21659.73,434,434
21661.26,435,433
21662.79,434,434
21664.33,434,434
21665.85,433,435
21667.39,434,433
21668.91,434,433
21670.44,435,434
21671.97,434,434
21673.50,434,434
21675.03,434,434
21676.57,433,433
21678.10,433,433
21679.62,434,434
21681.16,435,434
21682.68,435,435
21684.21,433,433
21685.75,435,433
21687.27,433,434
21688.81,434,433
21690.33,434,434
21691.86,434,434
21693.39,434,435
21694.92,434,434
21696.45,434,434
21697.99,434,433
21699.51,435,434
21701.05,434,434
21702.57,433,433
21704.10,434,435
21705.63,433,434
21707.16,433,434
21708.69,433,434
21710.23,434,435
21711.75,434,433
21713.28,433,433
21714.81,434,434
21716.34,433,433
21717.87,434,433
21719.41,434,433
21720.93,433,433
21722.47,433,433
21723.99,434,434
21725.52,433,434
21727.05,433,433
21728.58,434,434
21730.11,434,434
21731.65,434,434
21733.17,433,433
21734.70,434,433
21736.23,433,433
21737.76,433,434
21739.29,434,434
21740.83,434,434
21742.35,434,433
21743.89,434,433
21745.41,434,434
21746.94,433,433
21748.47,433,433
21750.00,434,434
21751.53,434,433
21753.07,434,433
21754.59,433,433
21756.12,433,433
21757.65,433,434
21759.18,433,433
21760.71,433,433
21762.25,434,433
21763.77,433,434
21765.31,433,433
21766.83,434,433
21768.36,434,434
21769.89,433,433
21771.42,434,434
21772.95,433,433
21774.49,433,433
21776.01,433,434
21777.55,435,433
21779.07,433,433
21780.60,433,434
21782.13,434,433
21783.66,434,433
21785.19,434,433
21786.73,433,433
21788.25,434,433
21789.78,433,433
21791.31,434,433
21792.84,434,433
21794.37,434,433
21795.91,433,434
21797.43,433,433
21798.97,434,433
21800.49,434,434
21802.02,434,434
21803.55,433,434
21805.08,434,433
21806.61,433,433
21808.15,434,433
21809.67,435,434
21811.21,433,435
21812.73,434,433
21814.26,433,434
21815.79,433,434
21817.33,433,434
21818.85,433,435
21820.39,434,434
21821.91,433,434
21823.44,433,433
21824.97,434,434
21826.50,433,434
21828.03,434,433
21829.57,433,434
21831.09,434,433
21832.62,433,433
21834.15,433,433
21835.68,434,434
21837.21,433,433
21838.75,433,434
21840.27,433,434
21841.81,434,434
21843.33,433,434
21844.86,434,433
21846.39,434,434
21847.92,434,434
21849.45,434,434
21850.99,434,433
21852.51,434,433
21854.05,433,433
21855.57,433,433
21857.10,434,434
21858.63,433,433
21860.16,433,433
21861.69,433,434
21863.23,433,434
21864.75,434,433
21866.28,433,434
21867.81,433,434
21869.34,433,434
21870.87,433,434
21872.41,433,434
21873.93,432,433
21875.47,434,433
21876.99,432,434
21878.52,433,433
21880.05,434,434
21881.58,432,433
21883.11,433,433
21884.65,434,433
21886.17,433,433
21887.70,434,434
21889.23,434,434
21890.76,433,433
21892.29,433,434
21893.83,434,433
21895.35,433,434
21896.89,433,433
21898.41,434,433
21899.94,433,434
21901.47,433,433
21903.00,434,433
21904.53,433,433
21906.07,433,434
21907.59,433,433
21909.12,433,433
21910.65,434,433
21912.18,433,433
21913.71,434,433
21915.25,432,434
21916.77,433,434
21918.31,434,433
21919.83,434,433
21921.36,432,433
21922.89,434,434
21924.42,433,434
21925.95,433,433
21927.49,433,434
21929.01,433,433
21930.55,432,433
21932.07,433,433
21933.60,433,433
21935.13,433,434
21936.66,433,433
21938.20,433,432
21939.73,433,433
21941.26,434,434
21942.78,434,433
21944.31,434,433
21945.84,433,434
21947.37,433,433
21948.91,433,434
21950.43,434,433
21951.97,433,434
21953.49,434,433
21955.02,433,433
21956.55,433,434
21958.08,434,433
21959.61,433,434
21961.15,434,434
21962.67,434,433
21964.20,433,434
21965.73,432,433
21967.26,434,434
21968.79,432,433
21970.33,432,433
21971.85,433,433
21973.39,433,433
21974.91,433,433
21976.44,433,433
21977.97,433,434
21979.50,432,433
21981.03,433,433
21982.57,433,433
21984.09,432,433
21985.62,432,434
21987.15,433,433
21988.68,433,433
21990.21,432,432
21991.75,433,433
21993.27,434,434
21994.81,433,433
21996.33,433,434
21997.86,433,433
21999.39,432,432
22000.92,434,433
22002.45,432,433
22003.99,432,432
22005.51,433,432
22007.05,432,433
22008.57,433,433
22010.10,433,434
22011.63,433,434
22013.16,432,432
22014.69,433,433
22016.23,432,433
22017.75,433,432
22019.28,432,434
22020.81,433,432
22022.34,433,433
22023.87,433,433
22025.41,433,433
22026.93,432,434
22028.47,432,434
22029.99,432,433
22031.52,432,432
22033.05,434,434
22034.58,432,433
22036.11,432,433
22037.65,432,433
22039.17,432,433
22040.70,433,433
22042.23,433,434
22043.76,434,433
22045.29,432,432
22046.83,433,433
22048.35,432,433
22049.89,433,432
22051.41,434,434
22052.94,433,433
22054.47,433,434
22056.00,432,432
22057.53,433,432
22059.07,434,434
22060.59,433,433
22062.12,433,432
22063.65,432,434
22065.18,433,432
22066.71,433,434
22068.25,433,433
22069.77,432,434
22071.31,432,433
22072.83,432,433
22074.36,433,433
22075.89,433,434
22077.42,432,433
22078.95,432,433
22080.49,433,434
22082.01,432,434
22083.55,433,433
22085.07,432,433
22086.60,433,432
22088.13,433,433
22089.66,432,432
22091.19,433,433
22092.73,433,433
22094.25,432,432
22095.78,432,432
22097.31,433,433
22098.84,433,432
22100.37,432,432
22101.91,433,432
22103.43,433,433
22104.97,433,433
22106.49,433,432
22108.02,432,433
22109.55,433,433
22111.08,432,433
22112.61,432,432
22114.15,433,432
22115.67,432,434
22117.20,432,432
22118.73,432,432
22120.26,433,434
22121.79,433,433
22123.33,432,432
22124.85,432,433
22126.39,433,433
22127.91,432,433
22129.44,432,433
22130.97,432,432
22132.50,432,432
22134.03,432,433
22135.57,432,433
22137.09,432,433
22138.62,432,432
22140.15,432,433
22141.68,432,433
22143.21,432,433
22144.75,433,433
22146.27,432,432
22147.81,431,433
22149.33,433,432
22150.86,433,432
22152.39,432,432
22153.92,432,432
22155.45,432,432
22156.99,433,433
22158.51,432,432
22160.05,433,432
22161.57,433,433
22163.10,433,433
22164.63,433,433
22166.16,433,432
22167.69,432,432
22169.23,432,432
22170.75,432,432
22172.28,432,432
22173.81,432,433
22175.34,432,432
22176.87,432,433
22178.41,432,434
22179.93,433,432
22181.47,432,433
22182.99,432,433
22184.52,432,432
22186.05,433,432
22187.58,432,432
22189.11,432,433
22190.65,431,432
22192.17,433,432
22193.70,432,433
22195.23,432,432
22196.76,432,433
22198.29,432,433
22199.83,433,432
22201.36,431,432
22202.89,433,432
22204.41,433,432
22205.94,432,432
22207.47,432,432
22209.00,432,432
22210.53,432,432
22212.07,432,432
22213.59,432,432
22215.12,431,433
22216.65,433,432
22218.18,432,432
22219.71,432,433
22221.25,433,432
22222.77,432,432
22224.31,432,432
22225.83,433,432
22227.36,432,433
22228.89,431,432
22230.42,432,433
22231.95,432,432
22233.49,432,432
22235.01,432,433
22236.55,432,432
22238.07,431,433
22239.60,432,432
22241.13,432,432
22242.66,432,433
22244.19,431,433
22245.73,431,432
22247.25,432,433
22248.78,433,432
22250.31,432,432
22251.84,432,433
22253.37,432,431
22254.91,432,432
22256.43,433,432
22257.97,432,432
22259.49,431,432
22261.02,431,431
22262.55,431,432
22264.08,432,432
22265.61,433,431
22267.15,432,432
22268.67,433,432
22270.20,432,432
22271.73,432,432
22273.26,432,432
22274.79,432,432
22276.33,432,432
22277.85,431,431
22279.39,432,433
22280.91,433,433
22282.44,432,432
22283.97,432,432
22285.50,432,432
22287.03,432,432
22288.57,431,433
22290.09,432,432
22291.62,432,432
22293.15,432,433
22294.68,432,433
22296.21,432,432
22297.75,431,432
22299.27,431,432
22300.81,432,431
22302.33,431,432
22303.86,432,432
22305.39,431,433
22306.92,431,431
22308.45,432,432
22309.99,432,432
22311.51,431,432
22313.05,431,431
22314.57,431,432
22316.10,432,432
22317.63,431,432
22319.16,432,432
22320.69,432,432
22322.23,431,432
22323.75,432,431
22325.28,431,432
22326.81,431,432
22328.34,431,431
22329.87,431,432
22331.41,432,432
22332.93,432,431
22334.47,432,433
22335.99,432,433
22337.52,431,432
22339.05,432,432
22340.58,431,431
22342.11,432,432
22343.65,432,431
22345.17,432,432
22346.70,431,432
22348.23,431,432
22349.76,431,432
22351.29,431,431
22352.83,431,431
22354.35,431,432
22355.89,432,432
22357.41,431,431
22358.94,433,432
22360.47,432,433
22362.00,431,432
22363.53,431,431
22365.07,431,432
22366.59,432,431
22368.12,431,431
22369.65,432,432
22371.18,432,431
22372.71,431,431
22374.25,431,432
22375.77,431,432
22377.31,432,432
22378.83,432,432
22380.36,432,431
22381.89,432,431
22383.42,431,431
22384.95,431,431
22386.49,432,431
22388.01,432,431
22389.55,432,432
22391.07,431,431
22392.60,432,432
22394.13,431,432
22395.66,432,431
22397.19,432,431
22398.73,431,431
22400.25,432,432
22401.78,432,431
22403.31,431,431
22404.84,431,431
22406.37,432,432
22407.91,432,432
22409.43,431,432
22410.97,431,432
22412.49,431,431
22414.02,432,432
22415.55,431,432
22417.08,431,431
22418.61,431,431
22420.15,431,431
22421.67,432,432
22423.20,431,432
22424.73,431,432
22426.26,431,431
22427.79,431,432
22429.33,431,431
22430.85,432,432
22432.39,431,432
22433.91,432,432
22435.44,432,431
22436.97,432,431
22438.50,431,432
22440.03,432,431
22441.57,431,432
22443.09,432,431
22444.62,431,431
22446.15,431,431
22447.68,431,431
22449.21,431,432
22450.75,432,431
22452.27,431,432
22453.81,432,432
22455.33,432,431
22456.86,432,431
22458.39,431,431
22459.92,431,432
22461.46,432,432
22462.99,431,431
22464.52,432,432
22466.05,431,432
22467.57,431,431
22469.10,432,431
22470.63,431,432
22472.16,432,432
22473.69,431,431
22475.23,431,431
22476.75,432,432
22478.28,432,431
22479.81,432,432
22481.34,432,432
22482.87,431,432
22484.41,432,431
22485.93,432,432
22487.47,431,431
22488.99,432,431
22490.52,432,431
22492.05,432,431
22493.58,432,431
22495.11,431,431
22496.65,431,432
22498.17,432,431
22499.70,432,431
22501.23,431,431
22502.76,431,431
22504.29,431,431
22505.83,432,430
22507.35,431,431
22508.89,431,431
22510.41,432,431
22511.94,431,430
22513.47,431,431
22515.00,432,431
22516.53,431,432
22518.07,432,430
22519.59,431,432
22521.12,431,431
22522.65,431,432
22524.18,431,432
22525.71,431,431
22527.25,432,432
22528.77,431,431
22530.31,431,430
22531.83,432,432
22533.36,431,431
22534.89,432,430
22536.42,431,432
22537.95,431,431
22539.49,432,431
22541.01,431,431
22542.55,431,432
22544.07,431,431
22545.60,431,431
22547.13,431,430
22548.66,432,431
22550.19,431,431
22551.73,431,431
22553.25,432,431
22554.78,432,431
22556.31,431,430
22557.84,431,431
22559.37,432,432
22560.91,431,431
22562.43,430,430
22563.97,431,432
22565.49,431,431
22567.02,431,431
22568.55,431,431
22570.08,431,432
22571.61,432,430
22573.15,431,432
22574.67,430,432
22576.20,431,432
22577.73,432,431
22579.26,431,431
22580.79,431,432
22582.33,431,432
22583.85,431,431
22585.39,431,431
22586.91,430,431
22588.44,431,431
22589.97,431,431
22591.51,432,431
22593.03,432,430
22594.57,430,432
22596.09,431,431
22597.62,431,431
22599.15,432,431
22600.68,431,431
22602.21,431,431
22603.75,430,430
22605.27,431,431
22606.81,431,431
22608.33,431,430
22609.86,432,431
22611.39,430,432
22612.92,431,431
22614.45,431,431
22615.99,431,431
22617.51,431,431
22619.05,430,431
22620.57,431,431
22622.10,431,430
22623.63,432,430
22625.16,432,431
22626.69,430,431
22628.23,431,431
22629.75,431,431
22631.28,431,431
22632.81,431,431
22634.34,431,430
22635.87,431,431
22637.41,430,430
22638.93,431,431
22640.47,431,431
22641.99,432,431
22643.52,430,432
22645.05,432,430
22646.58,431,430
22648.11,431,430
22649.65,432,431
22651.17,430,431
22652.70,431,431
22654.23,432,431
22655.76,430,432
22657.29,431,430
22658.83,432,431
22660.35,430,431
22661.89,430,430
22663.41,432,431
22664.94,431,431
22666.47,432,430
22668.00,431,431
22669.53,431,430
22671.07,431,431
22672.59,431,431
22674.12,430,431
22675.65,430,430
22677.18,430,430
22678.71,431,430
22680.25,430,430
22681.77,430,431
22683.31,431,430
22684.83,430,430
22686.36,431,430
22687.89,430,431
22689.42,431,430
22690.95,430,431
22692.49,431,431
22694.01,431,430
22695.55,431,431
22697.07,431,431
22698.60,431,431
22700.13,430,430
22701.66,431,430
22703.19,431,431
22704.73,431,431
22706.25,431,431
22707.78,431,430
22709.31,432,431
22710.84,431,431
22712.37,430,430
22713.91,430,431
22715.43,431,431
22716.97,431,431
22718.49,431,431
22720.02,431,431
22721.56,431,431
22723.08,430,431
22724.62,430,430
22726.15,432,431
22727.67,431,431
22729.20,431,431
22730.73,430,431
22732.26,431,431
22733.79,431,430
22735.33,431,430
22736.85,430,430
22738.39,430,430
22739.91,431,430
22741.44,430,431
22742.97,431,430
22744.50,430,430
22746.03,431,431
22747.57,431,431
22749.09,431,430
22750.62,431,430
22752.15,430,431
22753.68,430,431
22755.21,430,430
22756.75,430,431
22758.27,430,431
22759.81,431,431
22761.33,431,431
22762.86,430,430
22764.39,431,430
22765.92,431,430
22767.45,431,431
22768.99,431,431
22770.51,431,430
22772.05,431,431
22773.57,431,431
22775.10,431,431
22776.63,431,431
22778.16,430,431
22779.69,431,431
22781.23,431,430
22782.75,431,431
22784.28,431,430
22785.81,430,430
22787.34,431,430
22788.87,432,431
22790.41,430,430
22791.93,431,430
22793.47,431,431
22794.99,430,431
22796.52,431,431
22798.05,430,431
22799.58,431,430
22801.11,430,431
22802.65,430,431
22804.17,431,431
22805.70,430,431
22807.23,431,431
22808.76,431,430
22810.29,431,431
22811.83,431,431
22813.35,431,430
22814.89,431,431
22816.41,430,431
22817.94,431,432
22819.47,430,431
22821.00,430,431
22822.53,430,430
22824.07,430,430
22825.59,430,431
22827.12,431,431
22828.65,431,431
22830.18,430,431
22831.71,431,431
22833.25,431,430
22834.77,431,431
22836.31,430,430
22837.83,430,431
22839.36,431,430
22840.89,431,431
22842.42,431,431
22843.95,431,432
22845.49,430,431
22847.01,430,431
22848.55,430,430
22850.07,430,432
22851.60,430,431
22853.13,430,431
22854.67,431,431
22856.19,430,431
22857.73,430,431
22859.25,430,431
22860.78,431,432
22862.31,431,431
22863.84,431,430
22865.37,430,431
22866.91,430,432
22868.43,431,431
22869.97,431,431
22871.49,430,430
22873.02,431,430
22874.55,431,431
22876.08,431,431
22877.61,431,431
22879.15,431,431
22880.67,431,431
22882.20,431,431
22883.73,431,431
22885.26,431,431
22886.79,431,430
22888.33,431,430
22889.85,431,431
22891.39,431,430
22892.91,430,431
22894.44,430,431
22895.97,430,430
22897.50,430,431
22899.03,431,431
22900.57,431,431
22902.09,431,431
22903.62,431,431
22905.15,431,430
22906.68,431,430
22908.21,430,431
22909.75,430,431
22911.27,430,431
22912.81,430,431
22914.33,430,430
22915.86,431,431
22917.39,430,431
22918.92,430,431
22920.45,430,431
22921.99,431,430
22923.51,431,432
22925.05,430,431
22926.57,431,431
22928.10,430,430
22929.63,431,432
22931.16,431,431
22932.69,430,431
22934.23,430,430
22935.75,430,430
22937.28,431,430
22938.81,431,431
22940.34,431,430
22941.87,430,430
22943.41,430,431
22944.93,431,431
22946.47,430,431
22947.99,431,431
22949.52,431,431
22951.05,430,430
22952.58,431,431
22954.11,430,430
22955.65,431,431
22957.17,430,430
22958.70,430,430
22960.23,431,430
22961.76,430,431
22963.29,430,431
22964.83,431,431
22966.35,430,430
22967.89,430,431
22969.41,430,430
22970.94,431,431
22972.47,430,431
22974.00,430,431
22975.53,431,431
22977.07,431,431
22978.59,430,431
22980.12,431,431
22981.65,430,431
22983.18,431,432
22984.72,432,430
22986.25,430,431
22987.77,430,431
22989.31,431,431
22990.83,431,431
22992.36,431,430
22993.89,430,430
22995.42,430,431
22996.95,431,430
22998.49,431,431
23000.01,431,431
23001.55,431,431
23003.07,430,431
23004.60,431,430
23006.13,430,430
23007.66,430,431
23009.19,430,431
23010.73,431,430
23012.25,430,431
23013.78,430,430
23015.31,430,431
23016.84,431,432
23018.37,430,431
23019.91,431,431
23021.43,431,431
23022.97,430,430
23024.49,431,432
23026.02,431,431
23027.55,431,431
23029.08,430,432
23030.61,431,431
23032.15,430,431
23033.67,431,432
23035.20,431,431
23036.73,431,431
23038.26,430,431
23039.79,431,431
23041.33,431,431
23042.85,430,431
23044.39,430,431
23045.91,431,430
23047.44,431,430
23048.97,431,431
23050.50,430,432
23052.03,430,431
23053.57,430,431
23055.09,430,431
23056.62,431,430
23058.15,432,431
23059.68,431,431
23061.21,431,430
23062.75,430,431
23064.27,430,430
23065.81,430,431
23067.33,430,430
23068.86,430,431
23070.39,430,431
23071.92,431,430
23073.45,430,431
23074.99,430,431
23076.51,431,431
23078.05,430,431
23079.57,431,432
23081.10,430,431
23082.63,431,431
23084.16,431,431
23085.69,431,431
23087.23,431,431
23088.75,430,430
23090.28,431,431
23091.81,430,430
23093.34,430,431
23094.87,431,430
23096.41,430,431
23097.93,431,430
23099.47,430,430
23100.99,431,431
23102.52,430,432
23104.05,431,431
23105.58,431,431
23107.11,430,431
23108.65,430,431
23110.17,431,431
23111.70,430,431
23113.23,431,431
23114.77,431,431
23116.29,430,431
23117.83,430,431
23119.35,431,431
23120.89,431,431
23122.41,431,430
23123.94,431,432
23125.47,430,431
23127.00,431,431
23128.53,430,431
23130.07,431,430
23131.59,430,431
23133.12,430,430
23134.65,430,432
23136.18,431,430
23137.71,431,430
23139.25,430,431
23140.77,431,431
23142.31,431,431
23143.83,430,430
23145.36,431,432
23146.89,431,430
23148.42,431,430
23149.95,431,430
23151.49,431,430
23153.01,431,431
23154.55,429,431
23156.07,430,431
23157.60,430,430
23159.13,430,430
23160.66,430,430
23162.19,430,430
23163.73,431,431
23165.25,430,430
23166.78,431,430
23168.31,431,431
23169.84,430,431
23171.37,430,431
23172.91,430,430
23174.43,431,430
23175.97,431,430
23177.49,431,430
23179.02,431,430
23180.55,430,430
23182.08,430,431
23183.61,430,430
23185.15,431,431
23186.67,431,431
23188.20,430,431
23189.73,431,431
23191.26,431,430
23192.79,431,431
23194.33,430,430
23195.85,431,430
23197.39,431,432
23198.91,431,430
23200.44,431,431
23201.97,430,431
23203.50,431,431
23205.03,431,430
23206.57,431,431
23208.09,431,431
23209.62,431,431
23211.15,430,431
23212.68,431,431
23214.21,431,431
23215.75,431,431
23217.27,431,430
23218.81,430,430
23220.33,430,431
23221.86,430,431
23223.39,431,431
23224.92,430,430
23226.45,431,431
23227.99,431,430
23229.51,431,430
23231.05,429,431
23232.57,430,431
23234.10,431,430
23235.63,430,431
23237.16,431,430
23238.69,429,431
23240.23,430,431
23241.75,430,430
23243.28,429,431
23244.82,430,431
23246.34,430,431
23247.88,431,431
23249.41,431,430
23250.93,431,431
23252.47,431,432
23253.99,431,430
23255.52,431,431
23257.05,431,431
23258.58,430,430
23260.11,431,431
23261.65,430,431
23263.17,431,430
23264.70,430,431
23266.23,431,431
23267.76,430,431
23269.29,430,431
23270.83,431,431
23272.35,430,431
23273.89,431,430
23275.41,430,431
23276.94,430,431
23278.47,430,430
23280.00,431,430
23281.53,430,431
23283.07,431,431
23284.59,430,431
23286.12,430,430
23287.65,430,430
23289.18,431,431
23290.71,431,431
23292.25,430,431
23293.77,430,430
23295.31,430,430
23296.83,430,430
23298.36,430,431
23299.89,430,430
23301.42,431,431
23302.95,430,431
23304.49,430,430
23306.01,431,431
23307.55,431,430
23309.07,431,431
23310.60,431,431
23312.13,431,430
23313.66,430,430
23315.19,431,431
23316.73,430,430
23318.25,431,431
23319.78,431,431
23321.31,431,431
23322.84,430,430
23324.37,431,430
23325.91,430,431
23327.43,430,431
23328.97,431,431
23330.49,430,430
23332.02,430,431
23333.55,431,430
23335.08,430,431
23336.61,430,430
23338.15,431,430
23339.67,430,430
23341.20,431,431
23342.73,430,430
23344.26,431,431
23345.79,431,430
23347.33,430,430
23348.85,430,431
23350.39,431,430
23351.91,430,431
23353.44,431,430
23354.97,431,430
23356.50,431,431
23358.03,430,431
23359.57,430,431
23361.09,431,430
23362.62,431,430
23364.15,430,431
23365.68,430,430
23367.21,430,431
23368.75,430,430
23370.27,430,431
23371.81,429,431
23373.33,430,430
23374.87,430,431
23376.39,431,430
23377.93,430,430
23379.45,430,431
23380.99,430,430
23382.51,430,430
23384.05,430,430
23385.57,430,431
23387.10,430,430
23388.63,430,431
23390.16,430,431
23391.69,430,430
23393.23,430,430
23394.75,431,431
23396.28,431,430
23397.81,431,431
23399.34,430,430
23400.87,430,431
23402.41,429,430
23403.93,431,431
23405.47,430,430
23406.99,431,430
23408.52,430,430
23410.05,430,431
23411.58,431,431
23413.11,430,430
23414.65,430,431
23416.17,431,431
23417.70,430,431
23419.23,430,431
23420.76,430,431
23422.29,430,431
23423.83,431,430
23425.35,431,431
23426.89,431,430
23428.41,431,430
23429.94,431,431
23431.47,430,431
23433.00,430,431
23434.53,431,431
23436.07,431,430
23437.59,431,430
23439.12,431,430
23440.65,430,431
23442.18,431,430
23443.71,430,429
23445.25,431,429
23446.77,430,430
23448.31,430,430
23449.83,431,430
23451.36,430,430
23452.89,431,431
23454.42,430,431
23455.95,430,430
23457.49,430,430
23459.01,430,431
23460.55,431,431
23462.07,430,430
23463.60,430,431
23465.13,431,431
23466.66,430,431
23468.19,431,431
23469.73,430,430
23471.25,430,431
23472.78,431,431
23474.31,430,430
23475.84,430,431
23477.37,431,431
23478.91,431,430
23480.43,431,430
23481.97,431,430
23483.49,430,430
23485.02,430,430
23486.55,430,431
23488.08,430,430
23489.61,430,431
23491.15,431,431
23492.67,431,430
23494.20,430,430
23495.73,431,430
23497.26,431,430
23498.79,430,430
23500.33,431,430
23501.85,430,430
23503.39,431,431
23504.92,430,431
23506.44,430,430
23507.98,430,431
23509.50,430,430
23511.03,431,431
23512.57,430,431
23514.09,431,429
23515.62,430,431
23517.15,430,431
23518.68,431,430
23520.21,430,430
23521.75,430,431
23523.27,430,431
23524.81,431,430
23526.33,430,431
23527.86,430,430
23529.39,431,431
23530.92,430,431
23532.45,430,429
23533.99,430,430
23535.51,430,430
23537.05,430,431
23538.57,430,430
